name,age,season,tournament,club,apps,mins,shots (off target),shots (on target),shots (blocked),goals,outside_of_box_goals,unsuccessful_dribbles,successful_dribbles,unsuccesful_touches,dispossessed,aerial_won,aerial_lost,total_passes,accurate_long_pass,inaccurate_long_pass,accurate_short_pass,inaccurate_short_pass,accurate_crosses,inaccurate_crosses,long_key_pass,short_key_pass,assists
Siem de Jong,29.0,2020,UMLS,FCCincinnati,16.0,828.0,0.7,0.4,0.1,undefined,undefined,0.4,0.4,1.6,0.6,0.8,0.6,16.1,1.0,0.5,11.3,3.3,16.1,1.0,0.1,0.4,undefined
Siem de Jong,29.0,2020,NE,Ajax,4.0,107.0,0.3,0.5,undefined,undefined,undefined,undefined,undefined,0.5,0.3,1.5,0.3,7.5,undefined,undefined,5.5,2.0,7.5,undefined,undefined,0.3,undefined
Siem de Jong,29.0,2020,UCL,Ajax,4.0,9.0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,0.3,undefined,3.0,undefined,undefined,2.5,0.5,3.0,undefined,undefined,undefined,undefined
Siem de Jong,27.0,2018,NE,Ajax,21.0,556.0,0.3,0.4,0.1,0.2,undefined,undefined,0.2,0.5,0.2,0.5,0.8,9.1,0.2,0.2,6.6,2.0,9.1,0.2,undefined,0.6,undefined
Siem de Jong,26.0,2017,UCL,PSVEindhoven,3.0,135.0,0.3,0.3,0.7,undefined,undefined,undefined,0.7,undefined,0.7,0.3,0.3,14.7,0.3,0.3,12.3,1.7,14.7,0.3,undefined,undefined,undefined
Siem de Jong,26.0,2017,NE,PSVEindhoven,19.0,961.0,0.4,0.7,0.4,0.3,undefined,0.4,0.5,0.6,1.1,0.7,1.0,23.1,0.6,0.3,18.4,3.8,23.1,0.6,0.1,0.9,0.1
Siem de Jong,25.0,2016,EPL,NewcastleUnited,18.0,447.0,0.2,0.2,0.1,undefined,undefined,0.3,0.2,0.6,0.2,0.4,1.1,10.7,0.3,0.2,7.7,2.5,10.7,0.3,0.1,0.1,0.1
Siem de Jong,24.0,2015,EPL,NewcastleUnited,4.0,147.0,0.5,0.5,0.3,0.3,undefined,undefined,undefined,0.3,0.3,1.3,2.0,10.5,0.3,undefined,7.8,2.5,10.5,0.3,undefined,0.8,undefined
Siem de Jong,23.0,2014,UCL,Ajax,4.0,329.0,0.5,1.0,0.5,undefined,undefined,1.3,0.8,1.5,1.5,0.8,0.5,33.8,0.8,0.5,26.8,5.8,33.8,0.8,undefined,0.8,undefined
Siem de Jong,23.0,2014,UEL,Ajax,2.0,153.0,undefined,0.5,undefined,undefined,undefined,1.0,2.0,3.0,0.5,3.5,2.0,26.0,0.5,0.5,18.0,7.0,26.0,0.5,undefined,0.5,undefined
Siem de Jong,23.0,2014,NE,Ajax,19.0,1257.0,1.3,1.1,0.5,0.4,undefined,0.9,0.6,1.4,1.5,1.5,1.0,25.7,1.2,0.3,17.9,6.3,25.7,1.2,0.2,0.5,0.1
Siem de Jong,22.0,2013,UEL,Ajax,2.0,180.0,undefined,0.5,undefined,undefined,undefined,1.5,0.5,2.0,1.5,1.0,1.0,41.5,2.5,1.0,28.0,10.0,41.5,2.5,undefined,1.0,0.5
Siem de Jong,22.0,2013,UCL,Ajax,6.0,540.0,1.2,1.2,0.3,0.5,undefined,0.3,0.7,1.3,1.0,1.7,0.7,48.5,3.5,1.0,34.8,9.2,48.5,3.5,0.3,0.7,undefined
Siem de Jong,21.0,2012,UCL,Ajax,4.0,360.0,1.3,1.0,0.5,0.3,undefined,0.5,1.0,1.8,2.0,1.5,0.5,38.3,1.3,undefined,31.0,6.0,38.3,1.3,0.3,1.8,0.3
Siem de Jong,20.0,2011,UCL,Ajax,5.0,386.0,0.8,0.2,0.6,undefined,undefined,1.0,0.8,1.0,1.4,1.2,1.8,20.0,0.6,undefined,14.4,5.0,20.0,0.6,undefined,0.8,0.2
Zakaria Bakkali,32.0,2021,BJL,Anderlecht,2.0,121.0,0.5,undefined,undefined,undefined,undefined,undefined,undefined,2.0,0.5,undefined,1.0,16.5,0.5,1.5,12.0,2.5,16.5,0.5,undefined,0.5,undefined
Zakaria Bakkali,32.0,2021,BJL,Beerschot,4.0,155.0,0.3,0.3,undefined,undefined,undefined,0.8,1.0,1.0,1.5,undefined,0.8,12.0,undefined,0.3,9.5,2.3,12.0,undefined,undefined,0.8,undefined
Zakaria Bakkali,30.0,2019,UEL,Anderlecht,4.0,348.0,1.0,1.5,1.0,0.5,undefined,0.8,1.8,3.8,3.5,undefined,0.8,30.0,undefined,1.0,25.0,4.0,30.0,undefined,0.3,1.5,undefined
Zakaria Bakkali,29.0,2018,SLL,DeportivoLaCoruna,23.0,906.0,0.6,0.3,0.3,undefined,undefined,0.7,0.7,1.0,0.8,0.2,0.6,11.3,0.3,0.2,9.3,1.6,11.3,0.3,undefined,0.3,undefined
Zakaria Bakkali,28.0,2017,SLL,Valencia,18.0,276.0,0.1,0.1,0.2,0.1,undefined,0.6,0.4,0.2,0.4,undefined,0.1,5.9,0.1,0.1,4.9,0.8,5.9,0.1,0.1,0.6,undefined
Zakaria Bakkali,27.0,2016,SLL,Valencia,16.0,563.0,0.3,0.1,0.4,0.1,0.1,0.6,0.8,0.6,0.8,undefined,0.3,10.5,0.3,0.1,8.6,1.6,10.5,0.3,undefined,0.8,0.2
Zakaria Bakkali,25.0,2014,UEL,PSVEindhoven,4.0,155.0,0.3,undefined,undefined,undefined,undefined,1.0,2.0,1.5,1.0,undefined,0.3,12.0,0.3,undefined,9.3,2.5,12.0,0.3,undefined,undefined,undefined
Zakaria Bakkali,25.0,2014,NE,PSVEindhoven,16.0,679.0,0.2,0.8,0.3,0.2,undefined,0.8,1.5,1.1,1.8,undefined,0.3,13.8,0.3,0.3,12.1,1.1,13.8,0.3,0.3,0.6,undefined
Youness Mokhtar,32.0,2021,NE,ADODenHaag,6.0,258.0,0.3,undefined,0.2,undefined,undefined,0.8,0.7,2.5,1.7,0.2,1.2,11.5,1.0,0.5,7.0,3.0,11.5,1.0,0.2,undefined,undefined
Youness Mokhtar,31.0,2020,UMLS,ColumbusCrew,19.0,807.0,0.4,0.4,0.3,0.2,undefined,0.8,1.0,1.5,1.1,0.4,0.4,14.8,0.6,0.4,11.5,2.4,14.8,0.6,0.1,0.3,0.1
Youness Mokhtar,30.0,2019,UMLS,ColumbusCrew,8.0,442.0,0.4,0.6,0.8,0.1,undefined,0.8,0.8,1.8,0.6,0.5,0.9,20.4,2.0,1.4,13.3,3.8,20.4,2.0,0.4,0.9,undefined
Youness Mokhtar,30.0,2019,TS,Ankaragucu,12.0,673.0,0.2,0.5,0.3,0.1,undefined,1.0,0.7,2.1,1.7,0.2,0.6,16.6,0.8,0.4,11.0,4.4,16.6,0.8,undefined,0.8,0.3
Youness Mokhtar,29.0,2018,NE,PECZwolle,32.0,2654.0,0.7,1.4,0.6,0.3,0.1,1.9,2.4,2.7,2.8,0.4,1.3,26.8,2.2,1.5,17.6,5.5,26.8,2.2,0.3,1.8,0.2
Youness Mokhtar,28.0,2017,NE,PECZwolle,24.0,1400.0,0.7,0.6,0.4,0.2,undefined,1.3,1.6,1.8,1.9,0.4,0.8,19.0,1.0,0.9,13.1,4.0,19.0,1.0,undefined,0.8,0.1
Youness Mokhtar,26.0,2015,NE,Twente,32.0,2100.0,0.3,0.8,0.7,0.2,undefined,2.1,1.8,2.2,1.6,0.5,0.9,23.8,0.8,0.4,18.0,4.6,23.8,0.8,0.1,0.8,0.1
Youness Mokhtar,25.0,2014,NE,PECZwolle,4.0,356.0,1.5,0.3,0.5,0.3,undefined,2.0,1.8,2.8,3.5,0.3,1.3,19.5,0.8,undefined,14.3,4.5,19.5,0.8,0.3,2.0,0.8
Youness Mokhtar,25.0,2014,NE,Twente,25.0,1372.0,0.6,0.6,0.3,0.1,undefined,1.5,1.3,1.6,1.0,0.3,1.0,20.9,0.6,0.3,15.9,4.1,20.9,0.6,0.2,1.0,0.2
Michiel Kramer,25.0,2021,NE,ADODenHaag,26.0,1809.0,0.7,0.6,0.2,0.2,undefined,0.1,0.3,1.6,0.5,3.9,3.0,17.4,0.3,0.2,10.6,6.3,17.4,0.3,undefined,0.6,0.1
