district,poverty level (2016)
Coffee Creek Elementary,27.3
Cold Spring Elementary,8.8
Colfax Elementary,15.2
College Elementary,8.8
Colton Joint Unified,24.3
Columbia Elementary,13.7
Columbia Union Elementary,17.5
Columbine Elementary,18.2
Colusa Unified,13
Compton Unified,30.6
Conejo Valley Unified,6.3
Leggett Valley Unified,13.6
Corcoran Joint Unified,28.4
Corning Union Elementary,37
Corning Union High,30.3
Corona-Norco Unified,11.9
Coronado Unified,7.4
Cotati-Rohnert Park Unified,8.8
Cottonwood Union Elementary,18.3
Covina-Valley Unified,15.3
Cuddeback Union Elementary,17
Culver City Unified,9.5
Cupertino Union Elementary,3.6
Curtis Creek Elementary,17.3
Cutler-Orosi Joint Unified,41.5
Cutten Elementary,26.3
Cypress Elementary,8.6
Davis Joint Unified,8.8
Death Valley Unified,33.3
Dehesa Elementary,11.7
Del Mar Union Elementary,5.5
Del Norte County Unified,28.5
Delano Joint Union High,33.6
Delano Union Elementary,39.6
Delphic Elementary,28.6
Denair Unified,19
Desert Center Unified,100
Desert Sands Unified,20.4
Di Giorgio Elementary,55.2
Dixie Elementary,5.9
Dixon Unified,19
Douglas City Elementary,44.4
Downey Unified,18
Dry Creek Joint Elementary,9.4
Duarte Unified,20.2
Ducor Union Elementary,40.5
Dunham Elementary,10.6
Dunsmuir Elementary,36.4
Dunsmuir Joint Union High,27.6
Durham Unified,10.2
Earlimart Elementary,47.1
East Nicolaus Joint Union High,9.7
East Side Union High,11.8
East Whittier City Elementary,12.7
Eastern Sierra Unified,19.7
Eastside Union Elementary,32.8
Edison Elementary,30.7
El Centro Elementary,35.9
El Dorado Union High,7.7
El Monte City,30.6
El Monte Union High,25.7
El Nido Elementary,18.8
El Rancho Unified,18.6
El Segundo Unified,12
Elk Grove Unified,17.4
Elk Hills Elementary,30.8
Elkins Elementary,16.7
Elverta Joint Elementary,16.1
Emery Unified,15.8
Empire Union Elementary,22.8
Encinitas Union Elementary,8.5
Enterprise Elementary,26.3
Escalon Unified,17.6
Escondido Union Elementary,19.8
Escondido Union High,18.1
Esparto Unified,12.7
Etiwanda Elementary,10
Eureka Union Elementary,4.2
Evergreen Elementary,10.1
Evergreen Union Elementary,19.4
Fairfax Elementary,31.1
Fairfield-Suisun Unified,14.5
Fall River Joint Unified,20.3
Fallbrook Union Elementary,20.8
Fallbrook Union High,14.8
Feather Falls Union Elementary,15.6
Fieldbrook Elementary,20
Fillmore Unified,21.2
Firebaugh-Las Deltas Unified,36.3
Flournoy Union Elementary,23.1
Folsom-Cordova Unified,12.4
Fontana Unified,24.2
Foresthill Union Elementary,12
Forestville Union Elementary,10.5
Forks of Salmon Elementary,35.7
Fort Bragg Unified,27.2
Fort Ross Elementary,12.8
Fortuna Union High,15
Fountain Valley Elementary,8.2
Fowler Unified,30.7
Franklin Elementary,17.6
Franklin-McKinley Elementary,20.4
Fremont Unified,6.3
Fremont Union High,4.3
French Gulch-Whiskeytown Elementary,17.1
Freshwater Elementary,16.5
Fresno Unified,43.1
Fruitvale Elementary,15
Fullerton Elementary,15.9
Fullerton Joint Union High,14.5
Galt Joint Union Elementary,24.8
Galt Joint Union High,16
Garden Grove Unified,20.1
Garfield Elementary,10.9
Garvey Elementary,34.3
Gateway Unified,24.1
Gazelle Union Elementary,18.2
General Shafter Elementary,17.7
Gerber Union Elementary,31.7
Geyserville Unified,4.6
Gilroy Unified,14.3
Glendale Unified,17.9
Glendora Unified,11
Gold Oak Union Elementary,9.4
Gold Trail Union Elementary,5.8
Golden Feather Union Elementary,31.7
Goleta Union Elementary,8.8
Gorman Elementary,53.3
Grant Elementary,13.3
Grass Valley Elementary,26.1
Gratton Elementary,12.5
Gravenstein Union Elementary,7.9
Graves Elementary,20
Green Point Elementary,22.7
Greenfield Union,33.9
Greenfield Union Elementary,28.6
Grenada Elementary,19.4
Grossmont Union High,14.9
Guadalupe Union Elementary,18
Cucamonga Elementary,21.7
Guerneville Elementary,27.2
Gustine Unified,26.8
Hacienda La Puente Unified,19.2
Hanford Elementary,22
Hanford Joint Union High,15.3
Happy Camp Union Elementary,34
Happy Valley Elementary,6.6
Happy Valley Union Elementary,21.4
Harmony Union,10.9
Hart-Ransom Union Elementary,13.7
Hawthorne Elementary,28.8
Hayward Unified,15
Heber Elementary,23.4
Helendale Elementary,24.2
Hemet Unified,24.2
Hermosa Beach City Elementary,7.8
Hickman Community Charter,13.2
Hillsborough City Elementary,3.4
Hilmar Unified,14.6
Hollister,13.2
Holtville Unified,34.1
Hope Elementary,10.4
Hope Elementary,33.3
Horicon Elementary,2.9
Hornbrook Elementary,32.8
Hot Springs Elementary,13.6
Howell Mountain Elementary,4.4
Hueneme Elementary,19.1
Hughes-Elizabeth Lakes Union Elementary,12.8
Huntington Beach City Elementary,6.3
Huntington Beach Union High,10.2
Hydesville Elementary,12.4
"Igo, Ono, Platina Union Elementary",37.3
Imperial Unified,13.5
Indian Diggings Elementary,30
Indian Springs Elementary,16.7
Inglewood Unified,26.4
Island Union Elementary,17.6
Jacoby Creek Elementary,9.4
Jamestown Elementary,20.1
Jamul-Dulzura Union Elementary,16.7
Janesville Union Elementary,15.4
Jefferson Elementary,20
Jefferson Elementary,8.1
Jefferson Elementary,9.4
Jefferson Union High,6.9
John Swett Unified,16
Johnstonville Elementary,16.6
Julian Union High,11.4
Julian Union Elementary,15.8
Junction City Elementary,16.3
Junction Elementary,15.4
Junction Elementary,15.4
Jurupa Unified,21.3
Kelseyville Unified,25.5
Kentfield Elementary,3.5
Kenwood Elementary,3.1
Keppel Union Elementary,27.3
Kerman Unified,37.1
Kern High,23.3
Kernville Union Elementary,33.3
Keyes Union Elementary,19.8
King City Joint Union High,20.8
King City Union Elementary,28.3
Kings Canyon Joint Unified,35.9
Kings River Union Elementary,36.1
Kings River-Hardwick Union Elementary,13.9
Kingsburg Joint Union Elementary,26.8
Kingsburg Joint Union High,29.6
Kirkwood Elementary,29.4
Kit Carson Union Elementary,19.3
Klamath River Union Elementary,30
Klamath-Trinity Joint Unified,34.4
Kneeland Elementary,10.9
Knights Ferry Elementary,12.5
Knightsen Elementary,15.9
Konocti Unified,39.1
La CaÒada Unified,4.2
La Habra City Elementary,16.2
La Honda-Pescadero Unified,14.4
La Mesa-Spring Valley,15.9
Lafayette Elementary,2.7
Laguna Beach Unified,6.2
Laguna Joint Elementary,28.6
Pacifica,4.8
Lagunita Elementary,13.6
Lagunitas Elementary,3
Lake Elementary,11.3
Lake Tahoe Unified,11.9
Lakeport Unified,25.5
Lakeside Joint Elementary,4.3
Lakeside Union,16.1
Lakeside Union Elementary,32.3
Lakeside Union Elementary,13.8
Lamont Elementary,41.8
Lancaster Elementary,28.9
Larkspur Elementary,3.8
Las Virgenes Unified,6.2
Lassen Union High,13
Lassen View Union Elementary,16.6
Laton Joint Unified,34.5
Latrobe Elementary,3.4
Lawndale Elementary,24.6
Le Grand Union Elementary,31.9
Le Grand Union High,34.4
Lemon Grove Elementary,19.7
Lemoore Union Elementary,17.1
Lemoore Union High,16.2
Lennox Elementary,37
Richland Union,33
Lewiston Elementary,42.6
Liberty Elementary,4.9
Liberty Elementary,32.4
Liberty Union High,6.5
Lincoln Elementary,8.3
Lincoln Unified,18.3
Linden Unified,17.2
Lindsay Unified,36.1
Linns Valley-Poso Flat Union,49
Little Lake City Elementary,15.1
Little Shasta Elementary,22.6
Live Oak Elementary,16.1
Live Oak Unified,28.5
Livermore Valley Joint Unified,6
Livingston Union,23
Lodi Unified,16
Loleta Union Elementary,27.9
Loma Prieta Joint Union Elementary,5.4
Las Lomitas Elementary,3.9
Lompoc Unified,19.9
Lone Pine Unified,24.2
Long Beach Unified,23.3
Loomis Union Elementary,5.3
Los Alamitos Unified,4.8
Los Altos Elementary,3.1
Los Angeles Unified,27.2
Los Banos Unified,22.4
Los Gatos-Saratoga Joint Union,2.7
Los Gatos Union Elementary,3.3
Los Molinos Unified,24.5
Los Nietos Elementary,21.2
Los Olivos Elementary,7
Lost Hills Union Elementary,31
Lowell Joint Elementary,10.3
Lucerne Elementary,28.5
Lucia Mar Unified,9.8
Luther Burbank Elementary,18.1
Lynwood Unified,29.7
Madera Unified,32.3
Magnolia Elementary,26.1
Magnolia Union Elementary,28.6
Mammoth Unified,11.1
Manchester Union Elementary,24.2
Manteca Unified,13.2
Manzanita Elementary,22.5
Maple Creek Elementary,33.3
Maple Elementary,23.3
Marcum-Illinois Union Elementary,23.8
Maricopa Unified,32.2
Mariposa County Unified,26.4
Mark Twain Union Elementary,14
Mark West Union Elementary,15.7
Martinez Unified,8.2
Marysville Joint Unified,25.1
Maxwell Unified,11
McCabe Union Elementary,16.1
McCloud Union Elementary,30.3
McFarland Unified,41
McKinleyville Union Elementary,16.1
McKittrick Elementary,0
McSwain Union Elementary,12
Meadows Union Elementary,37.9
Mendocino Unified,8.3
Milpitas Unified,7.9
Menifee Union,13
Menlo Park City Elementary,2.3
Merced City Elementary,28.1
Merced River Union Elementary,20.9
Merced Union High,21.7
Meridian Elementary,17.9
Mesa Union Elementary,7.2
Middletown Unified,16.5
Midway Elementary,15.1
Mill Valley Elementary,4
Millbrae Elementary,6.4
Millville Elementary,23
Mission Union Elementary,22.8
Modesto City Elementary,25.4
Modesto City High,16
Modoc Joint Unified,28.1
Mojave Unified,37
Monroe Elementary,33.3
Monrovia Unified,15.6
Monson-Sultana Joint Union Elementary,39.3
Montague Elementary,31.1
Monte Rio Union Elementary,8.3
Montebello Unified,25.1
Montecito Union Elementary,14.5
Monterey Peninsula Unified,13.3
Montgomery Elementary,8.8
Moorpark Unified,7
Moraga Elementary,2.5
Moreland,9.6
Moreno Valley Unified,23.7
Morgan Hill Unified,7.2
Morongo Unified,25.1
Mother Lode Union Elementary,11.8
Mount Shasta Union Elementary,31.7
Mountain Elementary,8.1
Mountain Empire Unified,18.5
Mountain House Elementary,21.4
Mountain View Elementary,33.4
Mountain View Elementary,13.9
Mountain View Whisman Elementary,12.7
Mountain View-Los Altos Union,6.5
Mount Baldy Joint Elementary,0
